0,1,2,3,4,5,6
1,Cristiano Ronaldo ,,37,for 3 clubs,183,140
2,Lionel Messi ,,35,for 2 clubs,163,129
3,Robert Lewandowski ,,35,for 3 clubs,115,92
4,Karim Benzema ,,35,for 2 clubs,152,90
5,Raúl ,,33,for 2 clubs,142,71
6,Ruud van Nistelrooy ,,33,for 3 clubs,73,56
7,Thomas Müller ,,34,,146,53
8,Thierry Henry ,,34,for 3 clubs,112,50
9,Alfredo di Stéfano ,,37,,58,49
10,Zlatan Ibrahimović ,,40,for 7 clubs,124,48
11,Andriy Shevchenko ,,33,for 3 clubs,100,48
12,Filippo Inzaghi ,,37,for 2 clubs,81,46
13,Eusébio ,,31,,65,46
14,Mohamed Salah ,,30,for 4 clubs,79,44
15,Didier Drogba ,,37,for 3 clubs,92,44
16,Neymar ,,31,for 2 clubs,81,43
17,Kylian Mbappé ,,24,for 2 clubs,66,43
18,Alessandro Del Piero ,,35,,89,42
19,Sergio Agüero ,,33,for 3 clubs,79,41
20,Erling Haaland ,,23,for 3 clubs,35,40
21,Ferenc Puskás ,,38,for 2 clubs,41,36
22,Edinson Cavani ,,35,for 3 clubs,70,35
23,Antoine Griezmann ,,32,for 3 clubs,90,34
24,Gerd Müller ,,31,,35,34
25,Fernando Morientes ,,33,for 5 clubs,93,33
26,Arjen Robben ,,34,for 4 clubs,110,31
27,Kaká ,,31,for 2 clubs,86,30
28,Wayne Rooney ,,30,,85,30
29,Samuel Eto'o ,,33,for 5 clubs,78,30
30,Paco Gento ,,36,,89,30
31,Edin Dzeko ,,37,for 4 clubs,75,29
32,Patrick Kluivert ,,30,for 3 clubs,71,29
33,David Trezeguet ,,32,for 2 clubs,58,29
34,Roy Makaay ,,32,for 2 clubs,61,29
35,Ryan Giggs ,,40,,145,28
36,Álvaro Morata ,,31,for 4 clubs,77,28
37,Jean-Pierre Papin ,,31,for 3 clubs,37,28
38,Luis Suárez ,,35,for 3 clubs,73,27
39,Raheem Sterling ,,28,for 3 clubs,82,27
40,Rivaldo ,,34,for 3 clubs,73,27
41,Sadio Mané ,,31,for 2 clubs,64,27
42,Mario Gómez ,,27,for 2 clubs,44,26
43,Robin van Persie ,,30,for 3 clubs,59,25
44,Harry Kane ,,30,for 2 clubs,37,25
45,Hernán Crespo ,,32,for 5 clubs,65,25
46,Jardel ,,27,for 2 clubs,46,25
47,Luís Figo ,,36,for 3 clubs,103,24
48,Giovane Élber ,,31,for 2 clubs,69,24
49,Gonzalo Higuaín ,,32,for 3 clubs,83,24
50,Paul Scholes ,,38,,124,24
51,Marco Simone ,,31,for 3 clubs,47,24
52,Olivier Giroud ,,37,for 3 clubs,63,24
53,Gabriel Jesus ,,26,for 2 clubs,42,24
54,José Augusto ,,32,,56,24
55,José Altafini ,,37,for 2 clubs,28,24
56,Frank Lampard ,,36,for 2 clubs,105,23
57,Marco Reus ,,34,,64,23
58,Jari Litmanen ,,32,for 4 clubs,59,23
59,Ángel Di María ,,35,for 4 clubs,106,22
60,Roberto Firmino ,,31,,57,22
61,Santillana ,,35,,46,22
62,Leroy Sané ,,27,for 3 clubs,53,21
63,Steven Gerrard ,,34,,73,21
64,Claudio Pizarro ,,36,for 3 clubs,73,21
65,Mario Mandzukic ,,32,for 3 clubs,60,21
66,Amancio ,,36,,52,21
67,Luiz Adriano ,,30,for 2 clubs,47,21
68,Sergiy Rebrov ,,33,,43,21
69,Cesc Fàbregas ,,30,for 3 clubs,104,20
70,Gareth Bale ,,32,for 2 clubs,66,20
71,Riyad Mahrez ,,32,for 2 clubs,55,20
72,Fernando Torres ,,33,for 3 clubs,79,20
73,Nicolas Anelka ,,33,for 6 clubs,68,20
74,Romário ,,28,for 2 clubs,32,20
75,Paul Van Himst ,,32,for 2 clubs,39,20
76,Johan Cruyff ,,35,for 2 clubs,49,19
77,Ole Gunnar Solskjaer ,,34,,77,19
78,Lisandro López ,,29,for 2 clubs,47,19
79,Marco van Basten ,,28,for 2 clubs,27,19
80,Luis Enrique ,,32,for 2 clubs,44,19
81,Heung-min Son ,,30,for 2 clubs,55,19
82,Julio Cruz ,,34,for 2 clubs,48,19
83,José Torres ,,31,,33,19
84,Pirri ,,35,,57,19
85,Franck Ribéry ,,35,,87,18
86,Juninho Pernambucano ,,34,,59,18
87,Willian ,,31,for 2 clubs,71,18
88,Ronaldinho ,,30,for 2 clubs,47,18
89,Pedro ,,36,for 3 clubs,81,18
90,Rodrygo ,,22,,44,18
91,John Carew ,,27,for 3 clubs,54,18
92,Lucho González ,,32,for 2 clubs,63,18
93,Romelu Lukaku ,,30,for 3 clubs,41,18
94,Andy Cole ,,30,,48,18
95,Javier Saviola ,,31,for 6 clubs,56,18
96,Paulo Dybala ,,28,,53,18
97,Jozef Adamec ,,32,for 2 clubs,35,18
98,José Águas ,,32,for 2 clubs,22,18
99,Vinicius Junior ,,23,,49,17
100,Alexis Sánchez ,,34,for 5 clubs,74,17
101,Francesco Totti ,,39,,57,17
102,Michel Platini ,,31,for 2 clubs,30,17
103,Hulk ,,29,for 2 clubs,50,17
104,Timo Werner ,,27,for 2 clubs,42,17
105,Hristo Stoichkov ,,29,for 2 clubs,35,17
106,Luc Nilis ,,32,for 2 clubs,42,17
107,Pierre-Emerick Aubameyang ,,33,for 2 clubs,38,17
108,Hugo Sánchez ,,32,,27,17
109,Sandro Mazzola ,,29,,38,17
110,Emilio Butragueño ,,27,,29,17
111,Borivoje Kostic ,,34,,19,17
112,David Beckham ,,37,for 4 clubs,107,16
113,Roberto Carlos ,,35,for 2 clubs,120,16
114,Guti ,,33,,97,16
115,Dries Mertens ,,36,for 2 clubs,38,16
116,Michael Ballack ,,35,for 4 clubs,93,16
117,Sergio Ramos ,,37,for 3 clubs,141,16
118,Roberto Soldado ,,27,for 2 clubs,23,16
119,Gerard Piqué ,,35,for 2 clubs,128,16
120,Karl-Heinz Rummenigge ,,26,,36,16
121,Dieter Hoeneß ,,34,,27,16
122,Nené ,,34,,38,16
123,Pavel Nedved ,,36,for 3 clubs,79,15
124,Sir Kenny Dalglish ,,34,for 2 clubs,68,15
125,Kingsley Coman ,,27,for 3 clubs,58,15
126,Sylvain Wiltord ,,32,for 3 clubs,76,15
127,Theo Walcott ,,27,,59,15
128,Arturo Vidal ,,34,for 4 clubs,83,15
129,Serge Gnabry ,,28,for 2 clubs,45,15
130,Gheorghe Hagi ,,36,for 4 clubs,51,15
131,Iván Helguera ,,32,for 2 clubs,87,15
132,Simone Inzaghi ,,27,,31,15
133,Diego Tristán ,,28,,43,15
134,Seydou Doumbia ,,29,for 3 clubs,31,15
135,Ferenc Bene ,,30,,28,15
136,Wlodzimierz Lubanski ,,25,,26,15
137,Zinédine Zidane ,,33,for 2 clubs,80,14
138,Kevin De Bruyne ,,31,for 3 clubs,70,14
139,Bernardo Silva ,,29,for 2 clubs,83,14
140,Robert Pirès ,,35,for 3 clubs,82,14
141,Ronaldo ,,31,for 3 clubs,40,14
142,David Villa ,,32,for 3 clubs,47,14
143,Sören Lerby ,,32,for 3 clubs,44,14
144,Ian Rush ,,36,for 2 clubs,26,14
145,Konstantinos Mitroglou ,,28,for 2 clubs,41,14
146,Roy Keane ,,33,,74,14
147,Adriano ,,28,for 2 clubs,27,14
148,Miroslav Klose ,,32,for 2 clubs,39,14
149,Klaas-Jan Huntelaar ,,37,for 3 clubs,42,14
150,Vincent Aboubakar ,,26,for 2 clubs,23,14
151,Jupp Heynckes ,,32,,27,14
152,Marius Lăcătuş ,,32,,41,14
153,Chicharito ,,28,for 3 clubs,46,14
154,Torbjörn Nilsson ,,31,,14,14
155,Héctor Rial ,,31,,23,14
156,Denis Law ,,29,,18,14
157,Deco ,,32,for 3 clubs,75,13
158,Phil Foden ,,23,,48,13
159,Ronald Koeman ,,31,for 3 clubs,52,13
160,Carlos Tevez ,,31,for 3 clubs,46,13
161,Jan Koller ,,29,for 2 clubs,30,13
162,Peter Crouch ,,30,for 2 clubs,34,13
163,Dimitar Berbatov ,,34,for 3 clubs,60,13
164,Sergey Yuran ,,31,for 3 clubs,20,13
165,Freddie Ljungberg ,,29,,64,13
166,Lukas Podolski ,,30,for 3 clubs,29,13
167,Hakan Şükür ,,35,,42,13
168,Sonny Anderson ,,32,for 2 clubs,29,13
169,George Weah ,,33,for 3 clubs,21,13
170,Jackson Martínez ,,29,for 2 clubs,26,13
171,Dennis Viollet ,,36,for 2 clubs,14,13
172,Burak Yılmaz ,,36,for 5 clubs,40,13
173,Antonis Antoniadis ,,31,,14,13
174,Willie Wallace ,,31,,26,13
175,Dani Alves ,,35,for 4 clubs,111,12
176,Bastian Schweinsteiger ,,31,for 2 clubs,95,12
177,Mario Götze ,,30,for 3 clubs,69,12
178,Wesley Sneijder ,,31,for 4 clubs,76,12
179,Piet Keizer ,,30,,43,12
180,Mehmet Scholl ,,36,,70,12
181,Philippe Coutinho ,,29,for 4 clubs,48,12
182,Carsten Jancker ,,27,,49,12
183,Sjaak Swart ,,34,,43,12
184,Lautaro Martínez ,,26,,41,12
185,Marco Asensio ,,27,for 2 clubs,60,12
186,Marcus Rashford ,,26,,33,12
187,Terry McDermott ,,34,for 2 clubs,33,12
188,Giovanni ,,32,for 2 clubs,41,12
189,Rabah Madjer ,,32,,17,12
190,Conny Torstensson ,,27,for 2 clubs,23,12
191,Roar Strand ,,37,,74,12
192,Paulo Sérgio ,,32,,36,12
193,Roland Wohlfarth ,,28,,30,12
194,Metin Oktay ,,27,,13,12
195,Joaquín Peiró ,,30,for 2 clubs,23,12
196,Ciro Immobile ,,33,for 4 clubs,20,12
197,Radamel Falcao ,,33,for 4 clubs,29,12
